addy,0
12spVL9oJ1H843WRUL7YVZDTo8TMWCCuBrr3ZvdPYHa9,2
13Fa11mtqRDpZPwuvEhg3dmkpHHTXX4ZTB3VyaJqVpMB,1
13TfMtm3X6mFPtmREXQMgshpuwTo76XZ5rQynBKswM96,7
1415muV9QBpQDdrSMTPucYu9Xaxjh8Eq3fwTeoxDXfNd,1
14d5rZhbdQPQJNb1Q4oDHyPpe6qtwbHbXGrK3MdvoYmD,1
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,168
21ESdfgfh8xmnWgC9xd3FfmhPNceoPdVs9RRWtWqZS1c,4
23k2Qyicy4SFrsV8f8rthjFUfwW5FCbLQRPak59s223h,15
244w5pyr6nZNtBPmnRAseDs2Zvtgi3JKXEq2za2jPghf,1
24PgmNYmZra5mHDFTKvV9ou2XdZWntnzH87ezK26b5oc,1
25e2H1M3gvvdLX5GmEA173dkx3uYdYSBnNRVbbe6rZP4,1
25iBBMFKWoSuD1g2qqCuw8Xz75oLrmsXB9JkJBkjf6q3,1
264Vp5QEVwvWLW5fifNFimrULzZjwVyXciEeWMNKr1ku,1
26GQCqMqQq7PQ8D3Mj5tW9eR6xKKvAFvKn97PjSrPxuW,2
26npn5rX5TJ1AYH8r2GwSMxiD3F7PQ441zUsU4gkjZuP,1
27GfGpeEkBBBc3ALd6mTyZmEQxSyiafGHb4pTwPnP2Vn,2
28PewqMZAuTeHG49tK3afgkLdyP6CUoTqpxwjhqK1iZ6,1
28Sp2PHZjQYotyVeqQZwtRyJh5fWPsDvDoZASZiH6JAy,1
29vZCfTqVqKLTYbb2s1yNp2Sfmi3X8oVJurxwEYz3YG9,1
2AT8Vimh81qpZkYJFfE78Z4bcENQcfwFJURnea9VAN2o,1
2BEYKgzxNZapYHAgddx8h8eAA49bDv5BtUhrWUyCFWXn,1
2BHY7pRRRgvFnfjjiHEh6fPbkMy4igDoQ5Y8P1pvxhtB,1
2BenZjsp7J6fnoicjZBfEbCAdFBkKfSWr9CfaFR7jWXG,1
2C5XbQGUoUD95Q2usrWuhfytZnHXrykcTXocHpaq6JEw,1
2CKNABUGqKK3YSNnmp7uRJfCKS4HNsKEYbWAjP1PXWTw,1
2CoBSVCBbM4poKakoNm8FiHF7KhwhBmQKFaFfhG3F5PD,1
2DH9hipU6vWmPwYWDd2nznT7vexkfURxrL2952e6QiaM,1
2DHQfykNgMV7bDnycuydvYdJAD7sQv9P4U8Up2q8j7ZC,1
2Eqon1Nw9n3UcFibVFRDThxwF3oJEwvjbqVurj1MNYjL,4
2FHETrmqbhma4paaKFjnhjkwQi3CqxSNJyZzDHxro1g1,1
2FYSEUdUY4aTJnLuyCA5WpunMEmoPUpTKE278chUoEFh,2
2HRtvKaFpu5wvZia5NnDb7GWwidBy3JiFjMMx7c9uSux,1
2HVyS1zuVqWWf9X7hThdKcowvrVWo5VN6t6Uh42rxRCV,2
2HwtzVbESw3jh4GoXKY5o6bcdGfVKiTEKH17QwmSW4Rs,1
2JWHkmswnWnYVsjLsJbtvHtnR2YuTsAqb78K7LWo5CRC,1
2JuwiLzaFdwBUkquSq3cdnpcPZHcfo9h24wgEauS3nKL,1
2KJg2GbGmnPVMqmgdZFrbb7FbZhtC5wuveK7MedXfSeN,1
2KMoLfuU5axjBi2tzdkvYijeqqUheWC15MXh1458bdhm,1
2KnrdPpWN2HSEYg5KJhoCKcjwvZoGjr94p41ZGzM5tFJ,1
2KxE6LwLLWueomAALps6G12v1XqjvuCFkfQpQEBDEgx3,1
2L7iTL67xCGqqjByjyREhgtjJhZkQhe6rVvj3yvG7CDx,1
2NNMF4cv6YgZpfpgkbQbs6C7LxwGwfjzA8NwLaJs1Y5H,1
2P57TKyerfQa24CHzoisWPVohcLa6GNEcW1QSVFMSUv9,1
2PCmDRWvsz4QNxDc6nMb3X6eX2FmKousycxVkgt4CVSE,1
2Q82K41cGvDtMHNQQbPauvTZTXD3yK6zFqdHVgW2eeMa,1
2RPkL8cuZ8pesUN9MG3jEavQxm7ciyZm3wczYpAkSrE7,1
2SEL6Eh95TTKpZgrsLQXJZ7eD43X3Srrtn6uSU3uFmTW,1
2SWqsvNbfsjbdyHzrFYmXZZBZexFmJnjuQSMAoejNYQE,3
2TtuH3Hg2GPWJVuWqBCcMPKZzYxV6T9W9t9PfD5oBjjG,26
2U7c3q6fN7VC5wjDkBXhScvgwVJySdF5zxCoeWfdC3xa,1
2UvVqTyjnMwtg3R3Ukzd855Bz7tXY6iQgbwjVBbCvqBh,7
2VK2x1KZnErDfLqAYhfs56ZMcFfR6WvdEvCj2pCo8g4Y,1
2Ve9kES1oRJen8nEX2bnvpMCoGFaRvNeUAwiawjXqx3Y,1
2W2GAUZwhDLo4aopvEW6cfA36vahpTK24dyGjXG23JJv,1
2WLHNF87B517SG56aKNX6NjkJRznZRwcJC1rHaGcGKrQ,1
2WMYRGFZcb4rgZMSEHxNTY5nJ8aC1XYSh24WmkHz5YZV,1
2WMpAQXZ6XfpPyoqtxvCMuwAWaLMmh7DNG9ZD5oiA8Yv,2
2WQFDs4EjRoamyHrCiFaa7VK5J9cJVpnDzrktP81XCUs,1
2WZDAxUPAq62WM6w4icfR73ih39cegAuNXi5bazqkezM,1
2X1dfvGztFDG64reXRaKRkmiXitmsVwTdvfVW7qnBSqh,1
2X569c5M8SMhdJnaiwudmBE7XY4DaYfSv6pq2y8W9s9j,1
2XU9Cp9UmiaaPZP2eUM7Q4s9DQawqiWeMQji1ADK1vzH,1
2XyBQb5NjVSKAL8Q8F2uUmPffLj3B5kJC3aeLZGvEqXr,5
2Xz45cNPsmppSbfPpHqT17VNuBzMg6dSQcq8W57kshVt,1
